0,1,2,3,4,5,6,7,8
300046,台基股份,1,-2,0.30,-0.90,0.30,-0.90,+展开明细
000929,兰州黄河,1,-1,1.05,-1.10,1.05,-1.10,+展开明细
301208,中亦科技,1,-1,0.30,-0.24,0.65,-0.82,+展开明细
001306,夏厦精密,1,-5,0.11,-1.86,0.46,-7.58,+展开明细
002920,德赛西威,1,0,1.14,0.00,1.14,0.00,+展开明细
300967,晓鸣股份,1,0,0.71,0.21,1.25,0.37,+展开明细
300927,江天化学,1,-3,0.69,-1.10,0.69,-2.18,+展开明细
688018,乐鑫科技,1,-2,0.75,-1.58,0.75,-1.58,+展开明细
600189,泉阳泉,1,1,0.45,0.45,0.45,0.45,+展开明细
002186,全聚德,1,0,0.33,-0.18,0.33,-0.18,+展开明细
300387,富邦股份,1,-1,0.46,-0.41,0.46,-0.41,+展开明细
688358,祥生医疗,1,-1,0.49,-1.00,0.49,-1.00,+展开明细
000721,西安饮食,1,0,0.22,-0.03,0.29,-0.04,+展开明细
300750,宁德时代,1,0,1.19,0.34,1.19,0.34,+展开明细
600328,中盐化工,1,1,0.26,0.26,0.26,0.26,+展开明细
605300,佳禾食品,1,-3,4.14,-0.27,28.76,-1.89,+展开明细
300657,弘信电子,1,0,1.09,0.19,1.14,0.19,+展开明细
300600,国瑞科技,1,1,0.41,0.41,0.41,0.41,+展开明细
688778,厦钨新能,1,-2,0.41,-0.65,0.84,-2.44,+展开明细
300908,仲景食品,1,-1,0.79,-0.90,0.79,-0.90,+展开明细
603866,桃李面包,1,0,1.49,0.10,1.49,0.10,+展开明细
301200,大族数控,1,-2,0.07,-0.11,0.49,-0.85,+展开明细
301429,森泰股份,1,-2,0.21,-0.72,0.86,-2.87,+展开明细
688088,虹软科技,1,0,0.82,-0.56,0.82,-0.56,+展开明细
600674,川投能源,1,-1,0.53,-0.43,0.53,-0.43,+展开明细
601568,北元集团,1,0,0.34,0.18,0.53,0.28,+展开明细
002677,浙江美大,1,0,0.18,-0.03,0.18,-0.03,+展开明细
688668,鼎通科技,1,-3,1.18,-6.73,1.18,-6.73,+展开明细
002644,佛慈制药,1,1,0.28,0.28,0.28,0.28,+展开明细
002978,安宁股份,1,-1,0.27,-0.06,0.27,-0.06,+展开明细
605255,天普股份,1,-1,0.24,-0.52,0.24,-0.52,+展开明细
