日期,最高温,最低温,天气,风力风向,空气质量指数

2022-01-01 周六,19°,10°,多云,东北风2级,64 良
2022-01-02 周日,23°,12°,多云,北风2级,62 良
2022-01-03 周一,25°,12°,多云,东风1级,74 良
2022-01-04 周二,25°,15°,晴~阴,东南风2级,88 良
2022-01-05 周三,24°,13°,多云,东北风1级,70 良
2022-01-06 周四,24°,11°,多云,东北风3级,60 良
2022-01-07 周五,22°,11°,晴~多云,东北风2级,47 优
2022-01-08 周六,22°,11°,晴~多云,东北风2级,47 优
2022-01-09 周日,18°,12°,多云,东北风2级,55 良
2022-01-10 周一,18°,11°,多云,东北风2级,39 优
2022-01-11 周二,17°,8°,晴,北风3级,24 优
2022-01-12 周三,15°,10°,多云,东北风2级,47 优
2022-01-13 周四,17°,10°,多云,东北风2级,56 良
2022-01-14 周五,15°,13°,多云,东风2级,67 良
2022-01-15 周六,19°,13°,多云,东北风1级,91 良
2022-01-16 周日,23°,13°,晴~阴,东南风1级,82 良
2022-01-17 周一,17°,12°,多云~小雨,北风3级,50 优
2022-01-18 周二,16°,12°,多云,北风3级,26 优
2022-01-19 周三,18°,10°,晴~多云,北风2级,26 优
2022-01-20 周四,21°,12°,多云~阴,东北风2级,34 优
2022-01-21 周五,23°,15°,多云~阴,东南风2级,67 良
2022-01-22 周六,21°,16°,多云~小雨,东风2级,57 良
2022-01-23 周日,21°,15°,多云~小雨,东北风1级,25 优
2022-01-24 周一,18°,14°,多云~阴,北风2级,30 优
2022-01-25 周二,19°,13°,阴~小雨,东北风2级,18 优
2022-01-26 周三,20°,16°,多云~小雨,东南风2级,29 优
2022-01-27 周四,26°,17°,多云~小雨,东南风2级,41 优
2022-01-28 周五,20°,12°,多云~阴,北风2级,32 优
2022-01-29 周六,14°,8°,多云~小雨,北风3级,20 优
2022-01-30 周日,14°,8°,多云,北风3级,15 优
2022-01-31 周一,9°,6°,小雨~中雨,东北风3级,21 优

2022-02-01 周二,11°,8°,中雨~小雨,北风3级,16 优
2022-02-02 周三,10°,7°,小雨~大雨,北风2级,12 优
2022-02-03 周四,10°,7°,小雨~多云,北风3级,11 优
2022-02-04 周五,15°,6°,多云,北风3级,31 优
2022-02-05 周六,13°,9°,多云,东北风3级,29 优
2022-02-06 周日,15°,11°,多云~大雨,东北风2级,24 优
2022-02-07 周一,15°,8°,小雨~阴,东北风2级,30 优
2022-02-08 周二,13°,9°,多云~阴,北风3级,11 优
2022-02-09 周三,11°,9°,多云~阴,北风2级,14 优
2022-02-10 周四,16°,8°,阴,东北风2级,17 优
2022-02-11 周五,22°,13°,多云~阴,北风1级,42 优
2022-02-12 周六,20°,15°,多云~小雨,北风2级,24 优
2022-02-13 周日,13°,9°,多云~小雨,北风3级,18 优
2022-02-14 周一,21°,10°,晴~多云,北风3级,18 优
2022-02-15 周二,21°,12°,多云~阴,东北风2级,28 优
2022-02-16 周三,20°,13°,多云~小雨,东南风2级,44 优
2022-02-17 周四,16°,13°,小雨~中雨,东南风2级,46 优
2022-02-18 周五,17°,10°,多云~小雨,东北风2级,31 优
2022-02-19 周六,9°,5°,中雨~大雨,北风4级,12 优
2022-02-20 周日,6°,4°,大雨,北风4级,14 优
2022-02-21 周一,7°,5°,中雨,北风3级,14 优
